frame_nmr,car_id,license_number,license_number_score
18,2.0,NA13NRU,0.7995903139832765
137,5.0,AP05JEO,0.7408794265514346
147,8.0,KM05ZZK,0.7169848077569715
163,8.0,KH05ZTK,0.8554180454642951
183,8.0,KH05ZZK,0.8959120619510073
193,8.0,KH05ZZK,0.7949964592176778
202,8.0,KN05ZZK,0.7647376895128261
257,190.0,EY61NBG,0.7930956063547159
288,190.0,EY61NBG,0.7000699635160225
299,190.0,EY61NBG,0.7502126107242241
302,190.0,EY61NBG,0.9377763821882696
310,190.0,EY61NBG,0.7382397743146761
312,190.0,EY61NBC,0.7469002227665659
326,190.0,EY61MBG,0.7388477320527789
338,190.0,EY61NBG,0.8325633387495956
340,190.0,EY61NBG,0.95063686236732
346,190.0,EY61NBC,0.8293243215316656
348,190.0,EY61NBG,0.7051165940375945
354,190.0,EY61NBG,0.8495144694459046
355,190.0,EY61NBG,0.7485693782034769
393,246.0,AV08HVF,0.7742387384220961
402,279.0,EC65USJ,0.891801233231574
411,279.0,BG65USJ,0.775063504052813
417,279.0,BG65USJ,0.9515726128017172
418,279.0,BG65USJ,0.7898316044543919
422,279.0,BG65USJ,0.8378088817641649
437,279.0,BC65USJ,0.7179173432994863
440,279.0,BG65USJ,0.7909774192136445
449,279.0,BG65USJ,0.9289659716000964
497,315.0,AK64DMV,0.8593303105748847
504,315.0,AK64DMV,0.7301420036646211
505,315.0,AK64DMV,0.7060086568834281
522,315.0,AK64DMV,0.89836553491033
525,315.0,AK64DMV,0.7756393737916779
526,315.0,AK64DMV,0.929044261323164
527,315.0,AK64DMV,0.7011421862239173
529,315.0,AK64DMV,0.8332748887576501
531,315.0,AK64DMV,0.7167618170692178
535,315.0,AK64DMV,0.7773791346778081
543,315.0,AK64DMV,0.7108387594342861
544,315.0,AK64DMV,0.8558709172383107
548,315.0,AK64DMV,0.7341657433170561
549,315.0,AK64DMV,0.7523630556641353
551,400.0,EF10DZT,0.8355183397407201
552,315.0,AK64DMV,0.7744257859308747
560,315.0,AK64DMV,0.7681978058624929
564,315.0,AK64DMV,0.8515748292160439
568,315.0,AK64DMV,0.8023829818708501
577,315.0,AK64DMV,0.7290415963320424
580,315.0,AK64DMV,0.7284518803849642
591,315.0,AK64DMV,0.7231923884451722
597,315.0,AK64DMV,0.7073356393638667
618,400.0,EF10DZT,0.7134634468350628
632,400.0,EF10DZT,0.8017759244979873
654,321.0,AF65JKV,0.7330912989176334
662,321.0,AF65JKV,0.7498867343637979
669,321.0,AF65JKV,0.7598882434620712
686,321.0,AF65JKV,0.8932837395972019
765,217.0,GJ06EPD,0.7928813912936309
797,436.0,LM15ZZC,0.7016286148038677
804,217.0,GJ06EPD,0.7649340205640784
809,217.0,GJ06EPD,0.7318226017304382
813,436.0,LM15ZZC,0.9024688979029099
815,217.0,GJ06EPD,0.7338036557426879
822,436.0,LN15ZZC,0.888420723271057
836,436.0,LN15ZZC,0.9158014798020737
845,436.0,LN15ZZC,0.7465692767427302
868,404.0,OA07CLX,0.7137158618825539
873,404.0,DA07CLX,0.7160198739386161
876,404.0,DA07CLX,0.7277342545913688
895,404.0,DA07CLX,0.7668664533232029
927,404.0,DA07CLX,0.772776008056854
936,404.0,DA07CLX,0.760820108373386
1010,831.0,EY09VMS,0.742227577031737
1112,850.0,BP63LYH,0.9229557048075898
1118,850.0,BP63LYH,0.883674887521276
1120,850.0,BP63LYH,0.7722265527650737
1127,850.0,BP63LYH,0.8288507907688462
1128,850.0,BP63LYH,0.7856812795840588
1134,850.0,BP63LYH,0.9690370798222652
1139,850.0,BP63LYH,0.7363257928037471
1141,850.0,BP63LYH,0.9298512278636247
1142,850.0,BP63LYH,0.7955504594647698
1144,850.0,BP63LYH,0.7823897520618818
1147,850.0,BP63LYH,0.8859813100145186
1148,850.0,BP63LYH,0.821261444140031
1151,850.0,BP63LYH,0.9243084735493081
1156,850.0,BP63LYH,0.7167501475708514
1159,850.0,BP63LYH,0.8738735552814569
1160,850.0,BP63LYH,0.7831166807669574
1161,850.0,BP63LYH,0.8096261332718793
1171,850.0,BP63LYH,0.8377300193554822
1284,913.0,NG65ZFX,0.7371057281333824
1320,1129.0,HL64OGX,0.7225672724098653
1340,1133.0,NL64OGX,0.9708687735481146
1363,1129.0,ML64OGX,0.7442161429003037
1365,1175.0,NL64OCX,0.7628651664971839
1373,1129.0,NL64OGX,0.9542076077449512
1391,1004.0,LP14LJA,0.7887866135915322
1394,1004.0,LP14LJA,0.8927910392590186
1427,1004.0,LP14LJA,0.7346639250280811
1691,1271.0,CE61LYL,0.7653254417085401
1730,1271.0,CE61LYL,0.7382173595033388
1735,1271.0,CE61WYL,0.7901652696354615
1753,1271.0,CE61VYL,0.7079856284780119
